time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-20T02:50:24.309Z,60.4145,-152.1166,73.5,1.4,ml,,,,0.19,ak,ak19245246,2018-04-20T02:53:52.995Z,"35km ESE of Redoubt Volcano, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-04-20T02:39:23.490Z,19.2164993,-155.425827,34.49,2.18,md,38,134,0.03396,0.12,hv,hv70086126,2018-04-20T02:42:37.350Z,"5km ENE of Pahala, Hawaii",earthquake,0.56,0.8,0.04,14,automatic,hv,hv
2018-04-20T02:30:46.980Z,38.8248329,-122.7983322,2.36,1.24,md,19,92,0.009284,0.04,nc,nc73001656,2018-04-20T05:14:02.695Z,"6km NW of The Geysers, CA",earthquake,0.32,0.53,0.11,6,automatic,nc,nc
2018-04-20T02:09:52.370Z,37.4678333,-118.748,6.03,0.85,md,6,176,0.1128,0.03,nc,nc73001646,2018-04-20T03:41:03.185Z,"12km SSW of Toms Place, CA",earthquake,0.69,3.1,0.114,7,reviewed,nc,nc
2018-04-20T02:07:51.810Z,38.831665,-122.8799973,2.03,0.32,md,10,68,0.007083,0.03,nc,nc73001641,2018-04-20T02:33:03.831Z,"12km ENE of Cloverdale, CA",earthquake,0.36,0.7,0.22,2,automatic,nc,nc
2018-04-20T02:00:55.910Z,37.4741667,-118.7131667,11.43,1.25,md,15,156,0.1101,0.07,nc,nc73001636,2018-04-20T05:41:02.852Z,"10km SSW of Toms Place, CA",earthquake,0.48,0.85,0.183,14,reviewed,nc,nc
2018-04-20T01:54:53.000Z,37.3105,-114.871,9.6,1.4,ml,12,180.3,0.721,0.34,nn,nn00631044,2018-04-20T01:56:45.327Z,"26km ESE of Alamo, Nevada",earthquake,,3.2,,,automatic,nn,nn
2018-04-20T01:50:00.220Z,34.1135,-117.982,10.16,1.33,ml,28,107,0.1069,0.28,ci,ci37918375,2018-04-20T01:53:43.408Z,"3km S of Duarte, CA",earthquake,0.48,1.09,0.248,33,automatic,ci,ci
2018-04-20T01:38:53.608Z,60.3522,-152.2074,81.8,2,ml,,,,0.59,ak,ak19245240,2018-04-20T01:42:59.584Z,"33km ESE of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-04-20T01:31:03.670Z,33.5,-116.7891667,6.14,0.9,ml,31,35,0.0783,0.14,ci,ci37918367,2018-04-20T01:34:50.001Z,"10km NE of Aguanga, CA",earthquake,0.16,0.6,0.077,27,automatic,ci,ci
